Row,Date,Home_Team,Away_Team,Attendance,Match_Report_Link
127,2024-05-14,North Carolina,Loudoun Utd,"1,359",https://fbref.com/en/matches/36513c75/North-Carolina-FC-Loudoun-United-May-14-2024-USL-Championship
128,2024-05-15,B'ham Legion,Charleston,"3,937",https://fbref.com/en/matches/11d2e91c/Birmingham-Legion-Charleston-Battery-May-15-2024-USL-Championship
129,2024-05-18,Loudoun Utd,Monterey Bay,"1,525",https://fbref.com/en/matches/062b58d5/Loudoun-United-Monterey-Bay-May-18-2024-USL-Championship
130,2024-05-17,CS Switchbacks,Rhode Island FC,"8,023",https://fbref.com/en/matches/4da7212e/Colorado-Springs-Switchbacks-Rhode-Island-FC-May-17-2024-USL-Championship
131,2024-05-18,Indy Eleven,Hartford,"10,021",https://fbref.com/en/matches/6b615281/Indy-Eleven-Hartford-Athletic-May-18-2024-USL-Championship
132,2024-05-18,Pittsburgh,North Carolina,"5,113",https://fbref.com/en/matches/9c9db8e8/Pittsburgh-Riverhounds-North-Carolina-FC-May-18-2024-USL-Championship
133,2024-05-18,TB Rowdies,FC Tulsa,"5,277",https://fbref.com/en/matches/9ab40d92/Tampa-Bay-Rowdies-FC-Tulsa-May-18-2024-USL-Championship
134,2024-05-17,El Paso,Memphis,"6,004",https://fbref.com/en/matches/920a0fba/El-Paso-Locomotive-Memphis-901-May-17-2024-USL-Championship
135,2024-05-18,Roots,Orange County,"3,651",https://fbref.com/en/matches/1282e93f/Oakland-Roots-Orange-County-SC-May-18-2024-USL-Championship
136,2024-05-18,LV Lights FC,Louisville City,"1,048",https://fbref.com/en/matches/25e2991c/Las-Vegas-Lights-FC-Louisville-City-May-18-2024-USL-Championship
137,2024-05-18,Phx Rising,Miami FC,"8,081",https://fbref.com/en/matches/2bb91ddf/Phoenix-Rising-Miami-FC-May-18-2024-USL-Championship
138,,,,,
139,2024-05-24,Hartford,Monterey Bay,"4,083",https://fbref.com/en/matches/369b87ee/Hartford-Athletic-Monterey-Bay-May-24-2024-USL-Championship
140,2024-05-24,Charleston,El Paso,"3,257",https://fbref.com/en/matches/6f5132a8/Charleston-Battery-El-Paso-Locomotive-May-24-2024-USL-Championship
141,2024-05-25,Rhode Island FC,Louisville City,"4,914",https://fbref.com/en/matches/9be09733/Rhode-Island-FC-Louisville-City-May-25-2024-USL-Championship
142,2024-05-25,Miami FC,North Carolina,"1,039",https://fbref.com/en/matches/e49e7ff9/Miami-FC-North-Carolina-FC-May-25-2024-USL-Championship
143,2024-05-25,Indy Eleven,Phx Rising,"10,066",https://fbref.com/en/matches/eda6bff1/Indy-Eleven-Phoenix-Rising-May-25-2024-USL-Championship
144,2024-05-25,TB Rowdies,LV Lights FC,"5,753",https://fbref.com/en/matches/38537138/Tampa-Bay-Rowdies-Las-Vegas-Lights-FC-May-25-2024-USL-Championship
145,2024-05-24,FC Tulsa,Roots,"3,642",https://fbref.com/en/matches/71987515/FC-Tulsa-Oakland-Roots-May-24-2024-USL-Championship
146,Date,Home,Away,Attendance,
147,2024-05-25,New Mexico Utd,San Antonio,"8,539",https://fbref.com/en/matches/597b68ed/New-Mexico-United-San-Antonio-FC-May-25-2024-USL-Championship
148,2024-05-25,Orange County,Loudoun Utd,"4,342",https://fbref.com/en/matches/823af200/Orange-County-SC-Loudoun-United-May-25-2024-USL-Championship
149,2024-05-25,Sac Republic,B'ham Legion,"10,188",https://fbref.com/en/matches/8e3d6a3c/Sacramento-Republic-Birmingham-Legion-May-25-2024-USL-Championship
150,2024-05-25,Memphis,Pittsburgh,"3,020",https://fbref.com/en/matches/3d1906b6/Memphis-901-Pittsburgh-Riverhounds-May-25-2024-USL-Championship
151,,,,,
152,2024-05-29,Louisville City,Detroit City,"10,385",https://fbref.com/en/matches/e8244f3e/Louisville-City-Detroit-City-May-29-2024-USL-Championship
153,2024-05-29,Monterey Bay,Charleston,"3,423",https://fbref.com/en/matches/f8f15ae4/Monterey-Bay-Charleston-Battery-May-29-2024-USL-Championship
154,2024-06-01,Miami FC,Louisville City,"1,098",https://fbref.com/en/matches/6a173802/Miami-FC-Louisville-City-June-1-2024-USL-Championship
155,2024-06-01,Loudoun Utd,FC Tulsa,"3,505",https://fbref.com/en/matches/7fabf9f0/Loudoun-United-FC-Tulsa-June-1-2024-USL-Championship
156,2024-06-01,Pittsburgh,Indy Eleven,"5,002",https://fbref.com/en/matches/c5f569a0/Pittsburgh-Riverhounds-Indy-Eleven-June-1-2024-USL-Championship
157,2024-06-01,Hartford,Rhode Island FC,"5,500",https://fbref.com/en/matches/f2e3f31f/Hartford-Athletic-Rhode-Island-FC-June-1-2024-USL-Championship
158,2024-06-02,Monterey Bay,New Mexico Utd,"3,419",https://fbref.com/en/matches/0f06f2a9/Monterey-Bay-New-Mexico-United-June-2-2024-USL-Championship
159,2024-06-01,Sac Republic,TB Rowdies,"9,547",https://fbref.com/en/matches/67746972/Sacramento-Republic-Tampa-Bay-Rowdies-June-1-2024-USL-Championship
160,2024-06-01,Orange County,Detroit City,"3,537",https://fbref.com/en/matches/7d11d2e6/Orange-County-SC-Detroit-City-June-1-2024-USL-Championship
161,2024-06-01,CS Switchbacks,Roots,"7,366",https://fbref.com/en/matches/95e8b919/Colorado-Springs-Switchbacks-Oakland-Roots-June-1-2024-USL-Championship
162,2024-06-01,LV Lights FC,Phx Rising,"1,720",https://fbref.com/en/matches/c3a6aebf/Las-Vegas-Lights-FC-Phoenix-Rising-June-1-2024-USL-Championship
163,2024-06-01,El Paso,B'ham Legion,"5,707",https://fbref.com/en/matches/058d4c8e/El-Paso-Locomotive-Birmingham-Legion-June-1-2024-USL-Championship
164,2024-06-01,San Antonio,Memphis,"6,094",https://fbref.com/en/matches/533cef25/San-Antonio-FC-Memphis-901-June-1-2024-USL-Championship
165,,,,,
166,2024-06-05,San Antonio,El Paso,"5,805",https://fbref.com/en/matches/e7f3b145/San-Antonio-FC-El-Paso-Locomotive-June-5-2024-USL-Championship
167,Date,Home,Away,Attendance,
168,2024-06-08,Charleston,Pittsburgh,"3,626",https://fbref.com/en/matches/92e6c815/Charleston-Battery-Pittsburgh-Riverhounds-June-8-2024-USL-Championship
169,2024-06-08,Rhode Island FC,Detroit City,"4,108",https://fbref.com/en/matches/9f003ff9/Rhode-Island-FC-Detroit-City-June-8-2024-USL-Championship
170,2024-06-09,B'ham Legion,Indy Eleven,"2,147",https://fbref.com/en/matches/795de124/Birmingham-Legion-Indy-Eleven-June-9-2024-USL-Championship
171,2024-06-08,Roots,TB Rowdies,"6,408",https://fbref.com/en/matches/98528b66/Oakland-Roots-Tampa-Bay-Rowdies-June-8-2024-USL-Championship
172,2024-06-08,New Mexico Utd,Hartford,"10,884",https://fbref.com/en/matches/aa09cc65/New-Mexico-United-Hartford-Athletic-June-8-2024-USL-Championship
173,2024-06-08,Monterey Bay,Sac Republic,"3,309",https://fbref.com/en/matches/ff84dbd7/Monterey-Bay-Sacramento-Republic-June-8-2024-USL-Championship
174,2024-06-08,Memphis,CS Switchbacks,"3,090",https://fbref.com/en/matches/67d5041e/Memphis-901-Colorado-Springs-Switchbacks-June-8-2024-USL-Championship
175,2024-06-08,FC Tulsa,San Antonio,"5,073",https://fbref.com/en/matches/d40bcc02/FC-Tulsa-San-Antonio-FC-June-8-2024-USL-Championship
176,2024-06-08,LV Lights FC,Miami FC,"1,748",https://fbref.com/en/matches/e768e0ae/Las-Vegas-Lights-FC-Miami-FC-June-8-2024-USL-Championship
177,2024-06-08,Louisville City,North Carolina,"9,733",https://fbref.com/en/matches/da527798/Louisville-City-North-Carolina-FC-June-8-2024-USL-Championship
178,,,,,
179,2024-06-08,Phx Rising,Orange County,"5,032",https://fbref.com/en/matches/0445fcfb/Phoenix-Rising-Orange-County-SC-June-8-2024-USL-Championship
180,,,,,
181,2024-06-12,Memphis,Rhode Island FC,"2,188",https://fbref.com/en/matches/43509b8c/Memphis-901-Rhode-Island-FC-June-12-2024-USL-Championship
182,2024-06-14,Loudoun Utd,LV Lights FC,"3,580",https://fbref.com/en/matches/8deee1df/Loudoun-United-Las-Vegas-Lights-FC-June-14-2024-USL-Championship
183,2024-06-15,Detroit City,Charleston,"7,172",https://fbref.com/en/matches/ff428f96/Detroit-City-Charleston-Battery-June-15-2024-USL-Championship
184,2024-06-15,Indy Eleven,San Antonio,"10,491",https://fbref.com/en/matches/80383a13/Indy-Eleven-San-Antonio-FC-June-15-2024-USL-Championship
185,2024-06-15,Hartford,Pittsburgh,"4,747",https://fbref.com/en/matches/ecc25b9e/Hartford-Athletic-Pittsburgh-Riverhounds-June-15-2024-USL-Championship
186,2024-06-15,TB Rowdies,Louisville City,"5,393",https://fbref.com/en/matches/93120fc1/Tampa-Bay-Rowdies-Louisville-City-June-15-2024-USL-Championship
187,2024-06-16,North Carolina,Monterey Bay,"2,047",https://fbref.com/en/matches/88bc9b7c/North-Carolina-FC-Monterey-Bay-June-16-2024-USL-Championship
188,Date,Home,Away,Attendance,
189,2024-06-15,CS Switchbacks,Orange County,"8,023",https://fbref.com/en/matches/3dea20cd/Colorado-Springs-Switchbacks-Orange-County-SC-June-15-2024-USL-Championship
